message,response
"Hello I was interested in purchasing your Salsa Fargo, I seen you are asking $1000, Would you be willing to go any lower on this bike?",Yes I am open to negotiation. Give me a price!
"Well I was reading over your description, I see that you have 1300 miles on this particular bike, It also has all the stock parts correct? I would be willing to come $500 first thing tomorrow and pick it up. It is going to need alot of work on it to make it top notch again.",that's half of what I am asking. I can give it to you for $800. I need cash to even buy a new one for myself. That's how I can do it. I can't go that low. This bike is worth a lot more than what I am asking for it.
"Lets meet in the middle then, Ill do 750.",Okay its not like 50 dollars is gonna get me a brand new bike. Okay then deal!
Hello. I'm interested in buying the bed. How old is the bed? Is it soft or firm?,"The bed was used for about a year, so it's still in good condition. It's medium firm."
Understood. Would you be willing to accept $50 for it?,That's a lot lower than I think it's worth. Would you do $90?
Is this clean? Any wear?,Yes it is very clean and it is in great condition.
How are the tires?,"The tires are a little worn down, but they are still very good."
Hello!,selling for 3000
3000 is a little steep. lets drop it down a bit.,how about the 2900
i can do 1400 without utilities,thats under half poor cost ilose all the way around
well lets meet somewhere closer then how about 1700 with utilities.,it would have to be no lesser than 2500 with all barriers covered
2500 is way too high. thats only 500 less. im sure you can get it lower. lets do 1950 solid.,we all lose on that price 2200
2000 with all bases covered. i lose more than you lose.,deal
Can you tell me what kind of shape this set is in?,It is in great shape. They will last a long time. Looks just like the picture. Any other questions?
How old is it?,It's new
well I see that some of the stitching on the chairs needs to be redone.  Will you take $1000 cash if I come get it today?,"Sure, I'll accept that. Sounds good to me."
"Hey, I'm really interested in the tuner and accessories, but $200 is too high.",Hello . I am open to negotiating the price. Do you have any questions about the item..
"Yes, it looks dirty and in bad condition. Is there anything wrong with it?","I know right, what a terrible photo. It is really in excellent condition and it sounds great."
"Hi, I am interested in your headphones",Great I'm asking $150
Is that price negotiable?,Sure I'll come off a little so make an offer and I'll let you know. They have only been used twice and are really nice.
That's awesome. $75 cash? I can also pick them up from your house today and pay cash or venmo you the money now.,I'm afraid you a bit low; half off for like new condition hurts.
What did you originally pay?,I paid $150 for them and I only used them on to flights and put them away.
"If the headphones cost the same price brand new, then I'll just do that then. I'll pay $100, final offer","Agreed, you got a good deal at $100. Thanks"
"Hello, I think I could use your midcentury modern piece if I refinish it.  What are you asking?","This would be a beautiful addition to any room! I'm asking $550, but I'd take $500 if you could pick it up today or tomorrow!"
"That's a little too steep for me.  In antique guides, this is coming in, in perfect condition, at $200-350. Would you take $300 if I pick it up tonight? Cash deal.",A store-bought piece of this style would range you $750-$1000. $350 and we have a deal! $400 and I'll deliver.
"Hi. I'm interested in your item, but looking to pay around 350. 450 sounds a bit steep.",The phone is actually listed at 430 but I might be able to go a little bit lower
I'm sorry. I meant to say 430. How much lower could you go?,375 and I'll throw in 2 phone cases
"Ok, you have a deal!","Great , thanks"
"Hi. I am interested in the bike you have for sale, can you tell me about it...","yes it's a 2016 Giant defy very well maintained and rides great, pretty much brand new only rode two or three times"
Nice.  Are you willing to negotiate on the price at all...,the price is firm concidering i only road it a few times
"For full price, I'd prefer to buy a brand new bike from a retailer with a full warranty and be able to get it repaired by them if there are any problems.",deal can u pick up
"Yes id love it, the description seems perfect. I would love if you guys could negotiate the price a bit though, as I don't quite have the asking price of $1850. Could you guys do $1500 for me? It would really mean a lot.","I mean the open house is later today, and we have offers at 1750 already. If you can do 1700 cash that's really the only reasonable outcome"
"hello, I am interested in renting an apartment here",You picked the right place! These apartments are located near many attractive venues. The place is packed full of additional amenities to suit all your needs
Hello im interested in your bike. How old is it,The bike is a year old. I bought it used a few months ago.
Do you know how long the other owner had it? Are the tires and paint good?,He received it as a Christmas gift in 2016. The paint is in excellent condition. I did not replace the tires before putting it up for sale so I would knock $40 off the price so you can replace them.
Well its a bit old. Unfortunately I only have $150.00 How does that sound?,I don't think I want to go quite that low. Would you be willing to do $200?
Hello I am interested in you fitbit charger.,Do you have any questions?
yes are you willing to reduce the price a bit.,I'm willing to go down to $50. But only if you have cash in hand and can meet today.
I can only to $30 top with cash in hand and will pick up immediately at to charge to you.,The best I can do is $40. This is in like new condition. And I will gladly deliver.
That sounds great.  Our final cost is $40.,You have a deal.
Hi partner.,Are you interested in the iphone case?
Yes. is it still available? Is this  new or used?,It is available and brand new - never opened.
Sorry. I see that it is new from the description. Would you be willing to take 3$ for it?,I paid $15. How about $10?
that seems a bit steep sinee the listing is for 5? how about 5$ and I'll pick it up,That will work. $5 and you pick up.
"Hi, how are you doing?",I broke my foot in 3 different places and I just got the worst haircut ever. I'm not doing well. I'll sell you the dresser for $150 if you can bring me a wig.
That sounds awful sorry about that! I would be willing to buy it for 135 and bring you your wig would you accept that?,"Can you bring me a long red wig? If so, you have yourself a deal."
good evening i like the car you have,Hello. I am glad it caught your attention :)
"I can come pick it up from you, but Saturn is no longer in business so servicing of it can get difficult, id like to pay 1200 for it",that's way way low than what I am asking for. Its fully serviced and in a great condition. I can give it to you for 2500
"yeah but the company does not exist, and the car is 15 years old. parts are difficult to get in the event something goes wrong. How about 1500?",1800 its fair common. Its a whole car not just some parts.
alright deal!,Great!
Nice truck. How many miles on it?,75000
"You only put 75,000 miles on a 13 year old vehicle? Must not have used it much","Yes, it wasn't used much at all. It's going for 13000"
"I like the off-road tires, and it looks awesome but 13000 is a little high. I was hoping that you could let it go for 7000. It's still 13 years old",I apologize as I can't go to $7000. Could you do $10000?
"Its from 2004 and to get it up to emission standards is going to be a pain. If you can get to standard and throw in some hubcaps, I can do $9500.",I understand. $9700 and you have a deal.
"Haha, ok. But you have to come muddin' with me when the deal is done!",Will do!!!
"hi, does the chair have any damage?",None at all.
"can you tell me the width, i want to put it in a pretty tight space",It's average width and it would fit nicely in a tight space
would you be able to deliver or ship it to me?,If you agree to my asking price I will deliver it to you
I think that sounds pretty fair.  Can you get it here by this weekend?,Does Saturday morning sound good?
Hello are you still selling the sofa and chair?,"Yes, I am"
What kind of condition are they in?,"They're in excellent used condition, the fabric shrunk a bit in the wash but not so much that it's unusable or noticeable"
How long have you had them and why are you selling them?,"I've had them a year, I'm selling them because I am moving overseas"
Are you willing to come down on the price a little bit?,"I would be willing to do that, sure"
"Hey there, nice bike frame mn","Thanks!  I hate to part with it, but I really need the money.  Are you interested in buying?"
"Definitely, you stopped biking? New hobby it seems like?","Yea, I'm just getting too old for it."
"Ah, understood. Well it's repainted but it's high-end clearly. My budget's around 1500, does that sound alright?","I was really hoping to get $1800, but I will take $1500 since I'm in a bind.  That a deal then?"
"Hey, I'm very interested in your car...the biggest thing is why are you getting rid of it?",I have my eye on something new
"Hello, I'm interested in the 1 BR apt.",Hello
I'm interested in the 1 bedroom unit.,Great...this is a great offer considering the location and facilities
How can the application fees be waived?,I am sorry....application fees cannot be fully waived....but what I can do is offer a 50% cut on that and apply the rest to listing price....basically taking off the application fees
"The ad states ""We'll even waive your application fees"", I assumed that meant it would be waived entirely.",We need to have application fees for administrative purpose...but you are right....we are effectively waiving it off entirely...you will not have to pay it...on top of that we will reduce the listed price by 50% of Application fees
What would I be paying at that point?,With 129 waived....you are looking at a great offer of 1590....this is special price
I would be willing to make a deal at 1590,Thanks....you have made a right choice.
Hi! How are you?,"I'm well, thank you! Yourself?"
"Good, thanks. Let's make a deal! lol","Let's! The batteries are in great condition, I barely used them. Tried it out for awhile and just decided I didn't have the time for it. Normal price is around $250 but I'm willing to let them go for $150"
Cool. I had to google it to see what it was. I think I can get them at Fry's for $89.,I can do $75 plus a carrying case thrown in for free!
"Yes, I saw your ad, but it's really more than I can pay. I'm looking for a nice game table for the basement, but I can't pay more than $700.","I understand.  I am looking to sell the table.  I have a chair that goes wtih the table.  If I threw that in, would you be willing to pay 750.0?"
"I would really need two chairs, you know since it's a game table. Maybe if you could throw in two chairs?",That seems reasonable.  You have a deal!
"/Thank you, any scratches on the wood parts of the chair","No, the chair looks brand new with no scratches."
"Considering it's from Ikea and I could wait for a sale, would you go down on the price with cash in hand?","I understand. I'm asking for $40, but what would you be willing to pay?"
I have $28 and I could be there today and you won't have to deal with tons of people backing out. I'm motivated to buy now.,You're very convincing. I can't go as low as $28. Would $34 work for you?
"Hi, I am very interested in this house.  The pictures are gorgeous.  Is it located in a good area?",It is located in very quite neighborhood
Fabulous.  Are you willing to go down on the price?  I am trying to stay in the $1700 range.,If you have been on your job for a while I can go down to $2220
I can do $2000 but that's really pushing it.,Could you meet me in the middle at $2100
Yes please can you give me some details?,The four speakers are very loud and what you'll be buying. I'm throwing in the disc changer for free but it doesn't play
"OK, I think that 1800 is good enough, you don't really have to add anything.",I'm asking 1900. Can't go any lower.
This is brand new?,hi I would like to see you this wonderful gamer sd card it works well would you like to buy it?
I'm interested. but it's kinda pricey,I will cut you a nice deal. let's work out something?
you're selling it for 75,My price is just 20 bucks
Hi I am interested in this product,I can give you these tube lights as well as a custom painting from a 5 year old for $199?!?!?
The price is too too high for me. I can only afford a certain budget.,what is your budget?
$120,"I cant do that. The lowest ic an go is $160, but I'll throw in some new towels too?"
what are the towels for may I ask?,"Because everyone needs towels at some point. Think about it. Worst comes to worst you have some towels in your car, some kid pukes in your backseat, blam, problem solved. Very useful!"
I have lots of towels. I can do $140 are you willing to give it to me?,no
Hello,1388 sf home for 3985. it's a steal. and the view is incredible
"It's really nice looking, but the price is a bit steep. Would you be willing to take a little bit less?","um. sure it's a bit high, but it's worth every penny. what do you have in mind? I guess i could do 3900 if you sign a one year lease"
"I could do 3900 if it had wood or tile in the bedrooms, but with carpet, I would be looking for something more like 3500. I have great references and am an extremely responsible tennant.","well, I can't do that low. if you 2 year leazse, I could to 3800. that's the lowest i can do"
"How about we do a 2 year lease for 3800, but you agree to replace the carpet with wood or tile before I move in?",hm. i guess that's doable. that's a deal
"Thanks for selling the bike. I'm very interested, but I can't go that high.",What price were you thinking?
Hi! I'm very interested. I can come pick them up today with 18 dollars cash on hand.,They are easily movable and made to be very sturdy. If I included a coupon for a free gallon of paint you would be able to change the color to whatever suited you. I could deliver and go as low as $22
That sounds like a great deal assuming you have midnight blue?,"Yes, you could pick whatever color you wanted."
"Hi, so I'm very interested in the bike but I must ask is anything wrong with it?",This bike is like a member of the family....very well taken care of.  It's beautiful.
Yeah I agree. The bike looks great. Perfect for my 7 year old to learn on and probbably break his arm on. Are you willing to deliver the bike? Or do I need to come pick it up?,"If you will take it at $850, I can deliver it."
"$850 is a little too high for me, I can do $800 and I come pick it up from you today.",I actually almost resended the offer when you stated it was going to be for a 7 yr old.  Its a beautiful antique!  I can't budge on the price.  It's hard enough to let go of as is...
"Hello, you still have the bed frame and mattress?",I sure do. Just graduated and moving out.
It's in good condition? How long have you owned it?,It's in great condition. I have only had it a year and I bought it brand new.
"Well, I am pretty stripped of cash at the moment. Would you would be willing to negotiate the price?",I was trying to get a hundred out of it to help out with the truck rental to move. Whatcha say at $85?
Hello I am in the market to buy a car and I really dig your Ford Galaxie can you tell me some things about it please?,Sure!
"Thank you, how new is it too?",this is a 1963 model but it runs and drives great!
"Oh yea, that's what I need to take out some of my lady friends, if you know what I mean??",Of course! I am sure the $10500 is a great deal for that piece of art!
"Yes I was concerned about the high price and don't wish to offend you but I was hoping to pay something like 9450, is that possible for you?",I will give it to you for $9700 if you come and get it this week!
Is the property still available to rent?,"Yes, it has a minimum contract of one year (but I would love a longer contract). I just need your last pay stub and last 2 months of bank statements."
I could do a longer contract if you would consider coming down on the rent a little. Say to $3000?,"It is a very nice location! I could go as low as $3200. It has brand new kitchen fixtures, a washer and dryer, and a hot tub. It's a great deal!"
So we could meet in the middle. I can do a two year contract for $3100 a month.,"Okay, that sounds like a fair deal. Thank you!"
"looks like a nice bedroom set, how long have you had it?",Just a year
"I can find a new set for around 1500, since this is a year old and has a bit of damage how does $800 sound. I can pick it up as well","The estimate cost of the repair should not be more than $250. What id i give that to you plus an additional $150. Making the cost to reduce to $1,250."
"$1250 sounds fair, if you can deliver it too.",I will deliver
I am interested in the apartment.  It looks amazing.  How many bedrooms are there?,"Oh yes it is amazing, you're going to love it!  There are 2 official bedrooms but there are other rooms in the apartment to that you could turn into bedrooms."
Just what I'm looking for.  I'm on a budget and $2083 is a little out of my price point.  How much lower can you go with the price?,I can lower the price to about 1600?
$1600 is perfect. Thank you.,"Alright, let's do it!"
"Hi, about how big is the speaker?",I am actually unsure of the exact dimensions
"Great, I a m interest in the printer, I was wondering if you would accept $270 for it, since I will need to by the ink to make sure it works.","Yes I can accept that offer it sounds good and let me add that there shouldn't be any issues with the printer, I have another one like it and it works super perfect!"
"Great, can I pick it up today for $270",Alright I will send you the offer then and await your arrival.
What's up?,I have 2 IKEA Organizers i'm selling today
I see that. Are your wire baskets as reliable at pulling out as you are?,"Why yes, yes they are. ;)"
Dang. Well in that case I'll give you $10.,I can't let them go for $10........ i could go $70
"I really like the table and chairs you have posted, is there any chance you would take any less for them?","I'd really like to get $149, but could do $145, if it helps you."
"That is a little more than I really want to pay. How about this, I can go to 130 if you can toss in delivery of the items.",I would be happy to deliver to you.  How about $140 and free delivery?
Meet in the middle at 135?,Sounds good!
Great deal my friend. Thank you.,You bet!  Enjoy.
Hi; i'd like to make an offer of $2475.,"That's a bit low. This is a great location (near Whole Foods and a lot of nice restaurants, as well as public transportation). I have a lot of buyers interested who are willing to pay more. How about $2600? That's a pretty nice discount from my selling price."
I am loving that bike.  Can you tell me a little more about it?,"Well I bought it a few years ago for my son but he is too big for it so it basically has been sitting in my garage. It is in great shape, no damage."
"Has it been street ridden or more on hills, etc.?  I see it has a Shox seat.",A little of both but only a few times. Very little use.
I'd love to see it.  Only issue is my budget is around $800.  Would you be willing to work with me?,"Yes I can work with you I really have to get rid of it as I am moving. If you can come pick it up, I can let it go for 1000.00"
Would you be willing to split the differnce and do $900?  I'll even stick around and help you load your moving truck.  ;),"Great I could use the help! That would be perfect, you got a deal!"
Im interested in the truck!,It is a great truck!
"Its alot of miles on it and may need repair soon, looks like all original engine",I can go down to $3000. They are all highway miles.
"The engine is very important. I also am assuming tires are used, can you go any lower if the tires are not like new?","Yes, the tires are brand new. And i have never had a problem with the engine."
"I will take 3000, if you handle delivery too",We have a deal.
"Hello, I'm interested in the Jeep you have for sale. How many miles are on it?",It has standard miles for a vehicle of this year. about 120k. Cold A.C. and 80% tire thread. Great shape for a 10 year old jeep.
"Excellent. It is 10 years old though, and based on that mileage, I'm want to pay closer to $2225. I'm willing to negotiate on the price, though.",The blue book value is much higher than that. If you have anything interesting for trade I could accept that and offer the Jeep for $3900.
"I'm sorry, but there are other vehicles I have my eye on, and I'm on a budget. Would you be willing to accept $2670?",If we can agree on an even $3000 we have a deal.
"The most I can spend is $2925, and I can buy it today, cash in hand.",I'm sorry I cant accept that. $3000 is lower than I'm even comfortable to go. I will wait and hear from other interested buyers.
"Hello, I am very interested in these items, can you tell me anything about them?","Hi sure. Its a his and hers matching solid walnut end tables. Its refinished and is danish, modern and a vintage."
Is there any scratches on them?,No scratches
What is the price you are asking,$450 is the price. Its a vintage and I guarantee you that you can't go wrong wit it. Its an absolute beauty.
Well I am willing to pick them up.  The absolute best that I can do is 200.,That's too low for it. Its a unique piece and its an antique. I can give you for $400 last
Will you throw in a warranty with it?,Yes I will absolutely!
"K, I will take it for 375?",$400 take it or leave it
Hello! I'm looking to buy your Proclip for the Iphone 6/7,"okay, I can offer it to you for $35, the original price of my ad"
"I see, well I'd be willing to do $22 for it and I'd be willing to pick it up today!","Sounds good, can you go $25? We'd have a deal!"
I am very interested but that price is a bit high. What condition is th ebike in,"It's in good condition.  It has always been stored indoors, so no rust or chipping."
Are the tires in good condition? I see they are original ones,"They are the original, but to be honest, I never rode it very often.  There is still a good amount of tread on them, so there's many more miles to go before they'll need to be replaced."
That sounds great. How about we settle for 99 and Ill pick it up today,That works for me!
Is the TV hutch still for sale?,Yes it is!
"Fanstatic, I love the distressed look of it. How heavy is it?","Yeah the distressed look really makes it stand out. The hutch probably weighs around 40 pounds, nothing a dolly couldn't handle."
"I actually do not have a dolly, but this hutch would look great in my living room.",I wouldn't mind delievering the piece to your home and I can use my dolly to help you position it in your living room.
Really? That'd be wonderful. I can offer you $60 plus $5 for gas if you can deliver it later this evening.,$65 sounds good to me. Thanks I'll give you a call later.
Yes I am! Is there a deposit?,"Yes, but that is negotiable ( Unless you have a cat)....do you have a cat?"
I do not. No pets. How many bedrooms?,"Perfect- than yes we can definitely talk about the deposit, 2 bedrooms"
Hi I love the new home listed!,Thank you. It is a 2 bedroom and 2 bath home. Are you looking to buy a new home?
"I am but I have a limited budget right now. Right now I am working with $1843 as a payment, would that be reasonable for you?",That might be a bit too low for me. I am willing to go down to 2200 though. Is that good for you?
I think  I could work that much better than the first list price.  That sounds fair.,Good doing business with you.
"Hello, i was wondering if you had the macbook still available?",i do and I am only getting rid of it because I got a new one for work.  It is a Mac and is clean and ready to go.
I wish I could see just how clean it looks. No dents dings or scratches?,No dings and I am willing to negotiate the price.
"It seems to be just what I am needed myself, for work. I see that you are listing it at $500 but willing to negotiate—will you take $250 for it, I am on a tight budget at the moment.",I will take $300 and I will deliver it to you.  What do you think?
Hi! I saw you post for the table. How old is it?,Its mid/century but its on perfect conditions.
"I see. I do like mid-century style. The price just seems a bit high for this piece. How about $100 cash, and I'll pick it up?","Yeah that can work for me, if your willing to pick it up then ill accept $100 cash"
"Or if you could deliver it, I'll pay $110.",Yeah that can also work for me.
"Hi, I'm interested in your bike!",Thank you. I just bought this for my little princess but it is not her size. It is new
Would you be willing to sell it for $225?,I am sorry. It is too low. How about 300?
Will you be able to deliver it for $300?,Do you live in the area?
I definitely do.,We'll see you then. Thank you
nice wheels.,"They could be yours for the low price of $20,500."
"Yeah, but I do have a budget in mind. so you're the second owner, eh?",Yeah I bought it from the Mercedes dealer as a certified pre-owned. I have put the last 40K on it.
"I see.40k miles in 4 years, that's 10k a year, which works out to be about 27 miles a days that's a pretty long commute. anyway. how's this? 19K, we go to the bank and trafer the money from my account to your. i can do that today if you'd like",That sounds like a plan. I'm leaving town soon and this will help fund the move.
"Hi, I saw your ad, but it didn't list a picture. I need a new chest for the backroom but I didn't want to spend over 25 dollars for used IKEA furtniture.",I assure you that the condition is like new. I paid 120 for it so I will not go any lower than $75.
"I could do 50 bucks and pick it up today, but that's really the most I'm able to spend.",$65 and it's yours.
Sorry the most I can do is 50,I'm sorry but that is too low. Thank you for your interest.
I can do 50 dollars and an area rug that I paid 50 for,I'm sorry I do not except trades.
55 bucks is the absolute max I can go,I can't do $55. Sorry.
Hello,Very close to the subway and train station
Utilities included?,Yes
What about deposit?,U can pay it out on a monthly basis
Is it a quiet area? Safe?,Yes very safe area. I can give you the 13th month free.
"Thanks! It's still too much for me though, can you accept 1700$ for the first year and the second to raise to 2100$?",Yes. 1700 is a deal.
i'm trying to buy a car actually,So
"Hi, is this item spacious?","yo, this thing is really sweet, but my kids just out grew it."
Yeah its pretty interesting. Do the kids enjoy it?,"oh you pop LED on it's like a rave in the kids rooms, it's great. they loved it"
Great! Although the price that you have mentioned doesn't work for me. Its too pricey for me. What can we do?,I can't really go that much lower but I'll sell it to you for 45
I can do 39 please because that's what I can afford at the moment,that's pretty fair but I just need one more dollar
okay 40 should still work for me? We've got a deal?,"yes, that's perfect"
"Hi, 75 is my lowest offer",That is way too low. Do you wanna come take a look at the chair first?
"whoa, hoas, how about 75","How about 125 and ask something else, or this is not gonna work. We have to barter on this."
I will send you the offer. Done deal.,"Okay, hopefully it works."
Hello I'm interested in your chair and ottoman. Is it in good condition?,It is! I'm able to deliver to the East Bay or SF area for a small fee if you're interested in that.
I can for sure pick it up myself but thank-you. Would you consider 30 for it in cash? I just moved in and I've got a whole bunch of expenses but I really need somewhere to sit. Right now it's only boxes!,The lowest I can do is $40. The chair isn't very old and it's quite expensive to buy brand new.
Can we meet halfway at 35 cash? I'll pick it up whenever you can!,"Sorry, like I said it's expensive brand new. It's in really good condition and comes from a pet/smoke free home."
I'm going to have to fix the scratches and cover the cushions. I really need it. That 5 dollars makes a huge difference to me.,I'll make you an offer of $40 to which you can accept or deny. That's my final offer as I have other people interested in it as well.
"Hey, can you tell me a little more about the apartment's lease terms? Are they negotiable? I'm a Stanford student and we're on the quarter system, so I would need the lease to continue through the end of June instead of the end of May.",I think we could work something out.  It's only a 30 day extension correct?
"Yes, that's correct.",Will you still want to move in August?
Could I move in September instead? Our classes don't start until mid-September.,September 1 to August 31 I could make that work.  Will it be just for yourself?
"Awesome. I've got three Stanford friends with me, so they'd be in the other bedrooms and would also move in on September 1.",ok.  will you be able to afford $1998 per person per month?
"Honestly that amount is a lot more than I'm comfortable with, since I'm on student loans. But since you're willing to change up the lease terms regarding move-in and move-out date, I can be a little flexible. Could you do $7000 from all four of us, per month?",I can do $7095 per month and all four of you will have to fill out a rental application.  I will go ahead and waive the $35 credit check for each person.  That will save you all $140 on the application process.
Ok that works. Thanks so much.,sure no problem
like the stand. what say i give you 100 bucks for it? I'll come and pick it up,"I can only go as low as 100 on two conditions. One, you have to pay cash and two, you have to come get it before the weekend. Can you do that?"
Hello there I am interested in your item for sale.,Sure thing go ahead
I see that it doesn't come with a saddle... would you be willing to come down on the price because of this...,Yes it doesn't I could go down with the price to $580
I don't know if I can go that high for a bike this old. Though it is rare ... I could go as high as 560...,I could accept 560 but I need you to come pick it up
yes ia dog allowd,"Pets are welcome as long as they follow our size and breed restrictions. In addition, there is a pet deposit of $300 in addition to security deposit and a pet rent of $25/month."
do you need 1st  month and last rent also,"Security deposit is $500, but an additional deposit might be required based on credit score."
at this i can only pay about 1600 could you do that,"Unfortunately, that is not a reasonable offer for this area. How long of a lease were you considering?"
6 month,"Hmmm, a longer lease would help us here. How about $2200 for a 16 month lease?"
would you do 1800 for 24 month,"The lowest I could go would be $2000 for a 24 month lease, with a good credit check."
how bout 1900,"We could only do that if you agreed to an increased security deposit of $1000, I think."
how about 1900 a month wilth a securty of 800,"I can't agree to that, unfortunately. It'd have to be $1900 a month with a $1000 security deposit, for a 24 month lease."
I love the look of your chair! I have a couple of questions: What time period is the frame from? When was it reupholstered? Why are you getting rid of it?,"It's not too old maybe about 50 years or so, but it is hand made in the old european tradition. everything on it is original, sturdy well made no creaking. i'"
What is the material on the back and cushion made of?,"chat misbehaved. sorry about that. i'm selling it because i don't need it anymore. and need some quick cash. as for the materials for the back and cushion, i don't really know, i think it might be double weaved cotton? Not sure."
"In looking at comps, and this being not as old as it appears, would you be willing to negotiate on the price? I am thinking $175. I will pick up and load myself",Sure but I can't go that low. The lowest I can go is about 300. I can deliver it for you
How about 250 if I come pick up?,tell you what. 275 and you got a deal
Let's split the difference and go $260.,you come and pick it up? fine that's a deal
"Hi  beautiful bike, when did you get it?","Hello, thank you. I got the bike in 2015. It's a real beauty. I can also deliver if needed."
"Could you tell e if it has any issues, scratches, does anything need to be repaired? How does it ride?",You will get a very smooth and effortless ride with this bike. It doesn't have any issues and have been maintained very well.
"I like the fact that you can deliver as well as the answers about the bike, I would be willing to offer you 450 since you can deliver.","I would really like to get more than that, closer to my asking price."
"What is the best you can do, I really love this bike.",I could do $525
Hello how are you,fine and u
HI!  I am!  Are there any extras?  Laundry room?  Pool?  Fitness room?,"There is a Laundry room and a balcony, there are closeby free facilities you may work out and swim at."
Ok sounds great!  I'd love to come see it!  I'm very interested!  Would you take $1155 for it?,Impossible to find a place in downtown Berkley for that price. I already have a $1450 offer from students at UC however I am trying to keep the place quiet for older tenants.
"Would you take $1400?  I'm quiet more a book worm kinda person!  Single, don't drink, don't smoke and in my 40's.",Sounds like you're exactly the tenant I was looking for
how old is it,Hi! I would love to sell this item ASAP. How much are you willing to pay?
i think i can use it is there any thing wrong with it,It is in perfect working condition and has no wear or tear! I bought it this month and only used it twice! At $275 you'd be getting a steal!
i needs  one of these but i can afford 200,"Since you want $200 and I want $275, how about we meet in the middle at $237.5? If you round it up to $240 and have cash, I'll deliver it to you!"
i can get you 230 that's as close as i can get,$230 and you will pick it up?
yeah at McDonalds at 3pm,Sounds good
"hi, I am interested in your phone. i have a few questions",Are you willing to purchase today
Does is have any flaws.scrathes? cracked screen?,"No, it is brand new"
"okay great. I am willing to purchse today but, the price is a bit high for my budget. Would you go any lower?",The lowest I could go is $310. I purchased it for way more
well thats not much of a discount. do you have anything else to offer with it? car charger? case?,"Yes it is a full kit, fresh out of the box"
okay awesome! With the extra accessories I can do 310. We will meet tomorrow? morning or afternoon?,That is fine. Great deal
I'm interested in your set up! Let's make a deal!,Sure! I'm looking to sell these for $50
I'll do 25 right now and come pick it up. I have the cash on me now. The disk part doesn't even work. I think 25 is fair.,How about $35? I'll bring it to you.
Let's do 30?,Fair enough. $30 it is!
Hi - I saw your bike posted and would like more information on it please. how are the tires?,Thank you for your interest. They were recently replaced and are in excellent shape.
"Ok - is this a 10, 12, 18 or 21 speed?",This is a 21 speed.
It is difficult to see from the one picture - does this have disc brakes?,It has Avid Juicy 7 Hydraulic Disc Brakes
would you consider anything for trade?,"Not at this time, but if it helps I'd be willing to deliver the bike to you and allow you to try it out."
"Ok, I live in Bogota, Columbia, South America, so the trip may be costly.","You're in luck.  We're planning a trip to Bogota, Columbia."
"Wow - what luck! Ok, since the bike is 8 years old, I can offer $650 for it. Is that something you would consider?","That's a serious offer, but the bike cost far more than that new and it has been maintained properly.  I'm also bringing it to you which shaves a lot off of delivery costs.  $700 sounds better to me."
"Can we make offer contingent upon seeing it in person, and trying it out? If it looks good, then I will pay 700",That works for me.  Worst case scenario I'll use the bike on the trip.
thanks alot - see you in Bogota!,Thank you! See you soon.
Hey so I am really interested in the car but Id like to ask a few questions and maybe negotiate that price a little,"Absolutely, how much are you working with?"
I would love to use the service can we talk about 35.00 ?,"Hello, I see you are interested in my offer of activating your phone to metropcs. I am asking at least $50 for the service, what is your offer?"
Why don't we come to a deal of 35.00 and I will sign a year contract.,$35 sounds resonable!
Hey I am interested in the router. How old is it?,This router is a year old. Comcast Xfinity almost new
What would you say if I came to get it today for $40 and I would bring you a 20 oz coke that will be ice cold?,"I think the lowest I can go is $45, I can't go much lower, as I think this is a fairly new model."
I can do $45 but no coke.,Please pick it up asap! Sounds like a deal.
"Hello, You have a rare Titanium Sampson Kalispell Road Bike? This is correct right? How flexible are you on this price? I have always wanted one of these for my collection!",Thanks and it has been maintained. Has no issue whatsoever. I am willing to come down a bit with the price. Let me know that you are willing to offer?
If I could come get it right now I have $770 on me in cash. Do we have a deal?,That a good bargain i appreciate. But Kindly step up to $900 and we will close the deal
Can we settle on $800? Your description said this bike does have a few nicks and scratches.,Okay since you accepted my terms and condition i accept your proposal. Deal then
Hello. I saw your furniture fix. Are they used?,i have furnitue fiture that can possibly fix any and everything under over in-between  you need t-o keep it buy the three boxes i have for 30 dollars
What is the material of the support?,they are new uphostery yeah the same material what a way to go
ok. How about $21 since they are used? I need to fix my sofa but im just not sure if these will hold right. Don't want to pay a lot and have them not work,they are new boxes 25
Ok I can do 25,great lets deal
Hello,hello please tell me you would like to buy the terra cotta cloth sofa for 600.00
Let's negotiate! I see that you are selling this couch. I like it but I need to know if there is anything wrong with it. Is it sagging anywhere? Any bad smells or stains?,thee are no smells its clean no sagging geat posture and no stains its really like new a comfortable couch fo 590.00
"Do you have a cat? If so, did it go on the couch at all? I'm asking because I'm allergic to cats and won't be able to buy the couch if it has come into contact with a cat.",i have no pets 590.00 and remember smoke free
I'll pay you $444 for it and I'll come pick it up myself!,thats to low 589.00
I'll pay $500 for it if you deliver it to my place.,i will deliver 588.00
yes I am . Can you tell me if this is pet friendly?,No pets Please! But we are willing to offer this home for great value! We are offering the house for $2550 a month.
"I am a single parent with 2 kids , I am on a tight budget any chance you could come down to $1530?","The lowest we can go is $1700, the house has amazing features and renovations. It is also on a quiet street in a great neighborhood. Is this price ok with you?"
Hi how's sit going?,"fine, will you take 75 dollars for the back relief machine"
Is this item used or new?,never useed
Why are you selling it?,"my back is better, no need"
